county,academic_year,domestic_students,international_students,total_students
Carlow,2018,4000,455,4455
Carlow,2019,4085,535,4615
Carlow,2020,4270,380,4650
Carlow,2021,4015,360,4375
Carlow,2022,3485,465,3950
Carlow,2023,3525,490,4010
Carlow,2024,3400,525,3930
Cork,2018,23035,2975,26045
Cork,2019,23385,3145,26535
Cork,2020,24740,2390,27130
Cork,2021,24410,3245,27650
Cork,2022,23780,3640,27420
Cork,2023,23695,4185,27890
Cork,2024,24450,4455,28915
Donegal,2018,2770,245,3015
Donegal,2019,2830,320,3155
Donegal,2020,3180,250,3435
Donegal,2021,3050,230,3280
Donegal,2022,2850,265,3125
Donegal,2023,2820,420,3245
Donegal,2024,2920,1035,3960
Dublin,2018,63250,13225,76705
Dublin,2019,63785,14070,78070
Dublin,2020,67525,12900,80555
Dublin,2021,67675,15915,83575
Dublin,2022,66775,17275,84055
Dublin,2023,69220,20405,89660
Dublin,2024,71250,22240,93525
Galway,2018,17455,3685,21140
Galway,2019,18625,3165,21800
Galway,2020,19590,2660,22240
Galway,2021,19795,2960,22760
Galway,2022,18935,3315,22245
Galway,2023,19000,3715,22715
Galway,2024,19125,4270,23395
Kerry,2018,2085,385,2470
Kerry,2019,2095,375,2465
Kerry,2020,2160,315,2475
Kerry,2021,2065,295,2365
Kerry,2022,1865,280,2145
Kerry,2023,1865,225,2095
Kerry,2024,2025,275,2305
Kildare,2018,10030,795,10820
Kildare,2019,10515,755,11265
Kildare,2020,11215,495,11705
Kildare,2021,11355,730,12085
Kildare,2022,11790,845,12640
Kildare,2023,12135,905,13040
Kildare,2024,12915,1110,14025
Limerick,2018,20240,1930,22165
Limerick,2019,21035,2110,23145
Limerick,2020,22550,1745,24290
Limerick,2021,22565,2300,24870
Limerick,2022,22325,2425,24745
Limerick,2023,22220,2720,24945
Limerick,2024,22905,3100,26000
Louth,2018,3480,615,4095
Louth,2019,3335,710,4040
Louth,2020,3435,670,4105
Louth,2021,3275,705,3980
Louth,2022,3115,890,4005
Louth,2023,3190,875,4065
Louth,2024,3400,755,4160
Sligo,2018,3970,225,4210
Sligo,2019,3945,250,4195
Sligo,2020,4025,230,4260
Sligo,2021,4030,250,4285
Sligo,2022,4210,315,4525
Sligo,2023,4285,350,4645
Sligo,2024,4475,400,4875
Waterford,2018,6125,510,6635
Waterford,2019,6530,520,7050
Waterford,2020,6820,440,7265
Waterford,2021,6770,215,6985
Waterford,2022,6300,315,6620
Waterford,2023,6075,445,6520
Waterford,2024,6390,425,6815
Westmeath,2018,3180,540,3720
Westmeath,2019,3120,445,3565
Westmeath,2020,3525,380,3900
Westmeath,2021,3410,410,3820
Westmeath,2022,3040,460,3500
Westmeath,2023,3010,530,3540
Westmeath,2024,3135,545,3680
