academic_year,non_irish_enrolled,increase_from_2015,pct_increase_from_2015
2007/2008,13700,-10010,-42.2
2008/2009,14735,-8975,-37.9
2009/2010,14635,-9075,-38.3
2010/2011,15280,-8430,-35.6
2011/2012,13700,-10010,-42.2
2012/2013,15670,-8040,-33.9
2013/2014,19085,-4625,-19.5
2014/2015,21105,-2605,-11.0
2015/2016,23710,0,0.0
2016/2017,24720,1010,4.3
2017/2018,26470,2760,11.6
2018/2019,29080,5370,22.6
2019/2020,29855,6145,25.9
2020/2021,26785,3075,13.0
2021/2022,31720,8010,33.8
2022/2023,35140,11430,48.2
2023/2024,40400,16690,70.4
2024/2025,44535,20825,87.8
