county,year,avg_monthly_rent,rent_growth_pct,housing_completions,supply_pressure,stress_index
Longford,2024,1010.72,16.83,126,8.02,22.86
Leitrim,2022,710.88,14.53,68,10.45,21.18
Leitrim,2024,904.49,15.36,118,7.67,21.0
Cavan,2022,797.39,13.82,257,3.1,16.96
Donegal,2023,804.52,14.68,635,1.27,16.92
Roscommon,2024,1006.32,12.34,196,5.13,16.92
Longford,2022,783.24,11.56,123,6.37,16.31
Roscommon,2023,895.78,12.01,194,4.62,16.11
Longford,2023,865.12,10.45,119,7.27,15.82
Leitrim,2023,784.05,10.29,101,7.76,15.74
Cavan,2024,991.17,11.7,244,4.06,15.71
Kerry,2024,1090.72,12.16,479,2.28,15.48
Wexford,2023,1008.57,12.89,965,1.05,15.43
Sligo,2022,877.0,11.06,212,4.14,14.88
Wicklow,2024,1644.9,10.98,1338,1.23,14.88
