county,completions_per_1000
Dublin,2.091822660098522
Leitrim,2.3460074957800474
Longford,2.532688276481039
Roscommon,2.6611795870918615
Tipperary,2.7239506430945193
Cavan,3.071833648393195
Sligo,3.199120774263904
Donegal,3.55783507957421
Mayo,3.57287895887358
Clare,3.6410977749949294
Carlow,3.713119458267165
Offaly,4.067125833986844
Kilkenny,4.193814438764008
Monaghan,4.230719545278388
Westmeath,4.321550809154115
Galway,4.509440660114415
Kerry,4.519425498731349
Cork,5.067236304974893
Wexford,5.126239805135562
Laois,5.514730388490018
Louth,6.41354565959839
Meath,7.489380222051963
Wicklow,8.258005415527206
Kildare,8.398699936778382
