"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",10,5,2770,145,85,0,3015
"Atlantic Technological University","ATU Galway-Mayo",50,10,5530,115,15,0,5720
"Atlantic Technological University","ATU Sligo",25,5,3200,150,20,20,3415
"Atlantic Technological University_TOTAL",,85,20,11500,415,115,20,12150
"Dublin City University","Dublin City University",410,40,12435,575,0,170,13635
"Dublin City University_TOTAL",,410,40,12435,575,0,170,13635
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",30,15,1965,35,0,5,2045
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,30,15,1965,35,0,5,2045
"Dundalk IT","Dundalk IT",10,5,3480,460,140,0,4095
"Dundalk IT_TOTAL",,10,5,3480,460,140,0,4095
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",20,5,3855,40,0,0,3920
"Mary Immaculate College, Limerick_TOTAL",,20,5,3855,40,0,0,3920
"Maynooth University","Maynooth University",130,35,10030,615,15,0,10820
"Maynooth University_TOTAL",,130,35,10030,615,15,0,10820
"Munster Technological University","MTU Cork",55,5,8090,170,0,5,8325
"Munster Technological University","MTU Kerry",10,0,2085,375,0,0,2470
"Munster Technological University_TOTAL",,65,5,10180,545,0,5,10800
"National College of Art and Design","National College of Art and Design",30,15,935,30,10,0,1015
"National College of Art and Design_TOTAL",,30,15,935,30,10,0,1015
"Royal College of Surgeons","Royal College of Surgeons",40,75,985,1695,10,0,2810
"Royal College of Surgeons_TOTAL",,40,75,985,1695,10,0,2810
"South East Technological University","SETU Carlow",50,15,4000,385,5,0,4455
"South East Technological University","SETU Waterford",135,45,6125,325,5,0,6635
"South East Technological University_TOTAL",,185,60,10125,705,10,0,11090
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,770,25,0,0,795
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,770,25,0,0,795
"Technological University Dublin","TU Dublin Blanchardstown",5,0,2160,60,0,0,2225
"Technological University Dublin","TU Dublin City",180,35,12440,1155,0,25,13835
"Technological University Dublin","TU Dublin Tallaght",25,0,2685,90,0,0,2805
"Technological University Dublin_TOTAL",,210,35,17280,1310,5,25,18860
"Technological University of the Shannon","TUS Athlone",190,0,3180,345,5,0,3720
"Technological University of the Shannon","TUS Limerick",20,5,4950,210,5,5,5190
"Technological University of the Shannon_TOTAL",,210,5,8130,555,5,5,8910
"Trinity College Dublin","Trinity College Dublin",805,320,11560,2510,345,0,15545
"Trinity College Dublin_TOTAL",,805,320,11560,2510,345,0,15545
"University College Cork","University College Cork",250,80,14945,2405,10,30,17720
"University College Cork_TOTAL",,250,80,14945,2405,10,30,17720
"University College Dublin","University College Dublin",620,125,18085,3720,220,20,22790
"University College Dublin_TOTAL",,620,125,18085,3720,220,20,22790
"University of Galway","University of Galway",405,300,11925,2690,100,0,15420
"University of Galway_TOTAL",,405,300,11925,2690,100,0,15420
"University of Limerick","University of Limerick",210,75,11435,1320,20,0,13055
"University of Limerick_TOTAL",,210,75,11435,1320,20,0,13055
"TOTAL","TOTAL",3710,1225,159615,19640,1005,285,185475
